column_id,enum_id,enum_name
pipe_type,inverted_siphon,Inverted siphon
pipe_type,other,Other
nominal_pressure_unit,pa,pascals
nominal_pressure_unit,kpa,kilopascals
nominal_pressure_unit,psi,pounds per square inch
nominal_pressure_unit,ft_water,feet of water (39.2 F)
nominal_pressure_unit,in_water,inches of water (39.2 F)
nominal_pressure_unit,cm_water,centimeters of water (4 C)
nominal_pressure_unit,m_water,meters of water (4 C)
nominal_pressure_unit,bar,bars
pipe_depth_below_ground_unit,m,meters
pipe_depth_below_ground_unit,cm,centimeters
pipe_depth_below_ground_unit,in,inches
pipe_depth_below_ground_unit,ft,feet
upstream_invert_level_unit,m,meters
upstream_invert_level_unit,ft,feet
downstream_invert_level_unit,m,meters
downstream_invert_level_unit,ft,feet
cross_section_shape,circular,Circular
cross_section_shape,egg_shaped,Egg-shaped
cross_section_shape,rectangular,Rectangular
cross_section_shape,trapezoidal,Trapezoidal
cross_section_shape,u_shaped,U-shaped
cross_section_shape,other,Other
channel_cross_section_shape,rectangular,Rectangular
channel_cross_section_shape,trapezoidal,Trapezoidal
channel_cross_section_shape,circular,Circular
channel_cross_section_shape,u_shaped,U-shaped
channel_cross_section_shape,irregular_or_natural,Irregular or natural
channel_cross_section_shape,other,Other
covered_or_open,open,Open
covered_or_open,covered,Covered
channel_depth_unit,m,meters
channel_depth_unit,cm,centimeters
channel_depth_unit,in,inches
channel_depth_unit,ft,feet
channel_top_width_unit,m,meters
channel_top_width_unit,cm,centimeters
channel_top_width_unit,in,inches
channel_top_width_unit,ft,feet
